year,paper_id,relative_pdf_path,puc_public_pdf_url,source_pdf_url
2026,wer202621,"artigos/artigos_WER26/wer202621.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202621.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202621.pdf"
2026,wer202622,"artigos/artigos_WER26/wer202622.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202622.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202622.pdf"
2026,wer202623,"artigos/artigos_WER26/wer202623.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202623.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202623.pdf"
2026,wer202624,"artigos/artigos_WER26/wer202624.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202624.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202624.pdf"
2026,wer202625,"artigos/artigos_WER26/wer202625.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202625.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202625.pdf"
2026,wer202626,"artigos/artigos_WER26/wer202626.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202626.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202626.pdf"
2026,wer202627,"artigos/artigos_WER26/wer202627.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202627.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202627.pdf"
2026,wer202628,"artigos/artigos_WER26/wer202628.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202628.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202628.pdf"
2026,wer202629,"artigos/artigos_WER26/wer202629.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202629.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202629.pdf"
2026,wer202630,"artigos/artigos_WER26/wer202630.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER26/wer202630.pdf","https://werpapers.dimap.ufrn.br/papers/WER2026/wer202630.pdf"
